"Batch_No","Product","Site","Manufacture_Date","Release_Date","Operator_ID","Batch_Size_kg","Assay_pct","Dissolution_pct","pH","Moisture_pct","Yield_pct","Assay_Fail","Dissolution_Fail","pH_Fail","Moisture_Fail","Result","Batch_Status","Deviation_Raised","CAPA_Required"
"BN-CAR-202401-0491","Gardasil-Fill","Carlow","2024-01-25",2024-01-30,"OP-020",203.3,99.5,93.04,7.26,0.242,93.38,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202401-0572","Biologics-DS-B","Dunboyne","2024-01-26",2024-02-05,"OP-020",199.1,98.9,89.31,7.05,0.284,87.51,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202401-0087","HepC-API","Ballydine","2024-01-31",2024-02-13,"OP-007",248.3,98.81,91.18,7,0.429,92.65,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202402-0574","Biologics-DS-A","Dunboyne","2024-02-04",2024-02-16,"OP-001",247.2,97.84,88.1,7.08,0.377,78.4,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202402-0499","Gardasil-Fill","Carlow","2024-02-05",2024-02-18,"OP-001",98.5,99.31,88.01,7.17,0.291,88.49,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202403-0107","Oncology-BioTx_01","Brinny","2024-03-12",2024-03-24,"OP-009",98.9,98.94,86.05,7.17,0.388,88.22,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202403-0146","Oncology-BioTx_01","Brinny","2024-03-24",2024-04-03,"OP-009",197.4,98.96,95.27,7.15,0.343,86.62,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202403-0069","Oncology-BioTx_01","Brinny","2024-03-27",2024-04-04,"OP-016",98.8,99.59,86.99,6.91,0.186,86.53,"No","No","No","No","Pass","Released","No","No"
"BN-BRI-202404-0587","Oncology-BioTx_01","Brinny","2024-04-12",2024-04-17,"OP-004",52.3,98.47,85.76,7.18,0.21,84.64,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202404-0072","Keytruda-API","Ballydine","2024-04-16",2024-05-02,"OP-010",103.1,99.06,88.53,7.1,0.33,90.47,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202404-0419","Gardasil-Fill","Carlow","2024-04-18",2024-04-28,"OP-017",48.1,98.1,88.99,7.07,0.312,90.65,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-BAL-202404-0593","Keytruda-API","Ballydine","2024-04-26",2024-05-09,"OP-008",51.7,98.75,84.33,6.99,0.393,88.32,"No","No","No","No","Pass","Released","No","No"
"BN-BAL-202404-0101","HepC-API","Ballydine","2024-04-27",2024-05-03,"OP-013",254.5,98.28,94.63,6.97,0.282,86.52,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202404-0277","Biologics-DS-A","Dunboyne","2024-04-27",2024-05-08,"OP-010",51.2,94.65,71.77,7.24,0.148,80.38,"Yes","Yes","No","No","Fail","Rejected","Yes","Yes"
"BN-DUN-202404-0570","Biologics-DS-A","Dunboyne","2024-04-30",2024-05-18,"OP-012",200.5,97.19,88.7,6.86,0.295,88.18,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202405-0380","Gardasil-Fill","Carlow","2024-05-01",2024-05-12,"OP-007",50.6,98.86,84.8,7.02,0.262,89.83,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202405-0344","Biologics-DS-A","Dunboyne","2024-05-13",2024-05-20,"OP-007",196.5,97.7,92.15,7.29,0.234,83.32,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-CAR-202405-0217","Gardasil-Fill","Carlow","2024-05-16",2024-06-02,"OP-012",245.8,98.16,90.97,7.02,0.277,88.6,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-DUN-202405-0186","Biologics-DS-B","Dunboyne","2024-05-18",2024-05-26,"OP-003",202.6,97.55,81.39,7.02,0.28,83.95,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202405-0063","Biologics-DS-B","Dunboyne","2024-05-20",2024-06-03,"OP-014",96.6,97.86,89.35,6.91,0.248,88.84,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202405-0282","Gardasil-Fill","Carlow","2024-05-24",2024-06-11,"OP-018",51.6,97.59,85.79,7.03,0.392,91.7,"No","No","No","No","Pass","Released","No","No"
"BN-CAR-202405-0079","Gardasil-Fill","Carlow","2024-05-26",2024-06-09,"OP-020",247.7,99.1,86.68,7.21,0.347,94.41,"No","No","No","No","Pass","Released","Yes","Yes"
"BN-DUN-202405-0370","Biologics-DS-A","Dunboyne","2024-05-27",2024-06-04,"OP-006",247.6,98.26,91.07,7.27,0.386,90.22,"No","No","No","No","Pass","Released","No","No"
"BN-DUN-202405-0220","Biologics-DS-A","Dunboyne","2024-05-28",2024-06-11,"OP-005",249.1,97.61,86.83,7.12,0.377,85.13,"No","No","No","No","Pass","Released","No","No"
